system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCI,GLI,GNDVI,LAI,MSAVI,MSK_CLDPRB,MSK_SNWPRB,NDVI,OSAVI,QA10,QA20,QA60,RECI,SAVI,SCL,SIPI,TCI_B,TCI_G,TCI_R,VARI,VIGREEN,WVP,X,Y,data,date_edit,hora,indice,peso_kg,prec,.geo
20240123T134659_20240123T134702_T21KYT_00000000000000000001,{184=0.047058823529411764},{6591=0.047058823529411764},{5541=0.047058823529411764},{5058=0.047058823529411764},{6640=0.047058823529411764},{6508=0.047058823529411764},{6352=0.047058823529411764},{6999=0.047058823529411764},{7033=0.047058823529411764},{7107=0.047058823529411764},{7068=0.047058823529411764},{7083=0.047058823529411764},{15930=0.047058823529411764},{-0.3875297683481273=0.047058823529411764},{0.08604794099569757=0.047058823529411764},{9.227929867733005E-4=0.047058823529411764},{0.04124926340601061=0.047058823529411764},{-1.5200827018835246=0.047058823529411764},{0.10129520129612501=0.047058823529411764},{100=0.047058823529411764},{0=0.047058823529411764},{0.053353204172876305=0.047058823529411764},{0.05335256807668463=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.11272040302267006=0.047058823529411764},{0.08002682463395551=0.047058823529411764},{9=0.047058823529411764},{0.5977653631284916=0.047058823529411764},{255=0.047058823529411764},{255=0.047058823529411764},{255=0.047058823529411764},{0.02508038585209003=0.047058823529411764},{0.012130637636080872=0.047058823529411764},{4051=0.047058823529411764},-54 35 33.300,-20 22 56.418,20240313,2024-01-23 13:58,93056,13,0.275,1.6,"{""type"":""Polygon"",""coordinates"":[[[-54.59259375362449,-20.382349204135945],[-54.592574680647715,-20.38234885471162],[-54.59257501526131,-20.38233097785257],[-54.592594004584754,-20.382331229455644],[-54.59259375362449,-20.382349204135945]]]}"
20240123T134659_20240123T134702_T21KYT_00000000000000000002,{184=0.047058823529411764},{6727=0.047058823529411764},{5650=0.047058823529411764},{5266=0.047058823529411764},"{6768=0.011764705882352941, 6824=0.03529411764705882}","{6664=0.03529411764705882, 6656=0.011764705882352941}","{6552=0.03529411764705882, 6524=0.011764705882352941}",{7147=0.047058823529411764},{7145=0.047058823529411764},{7211=0.047058823529411764},"{7192=0.011764705882352941, 7236=0.03529411764705882}",{7209=0.047058823529411764},{15930=0.047058823529411764},"{-0.37757178385711054=0.011764705882352941, -0.3692507017922695=0.03529411764705882}","{0.08052884615384626=0.011764705882352941, 0.08583433373349347=0.03529411764705882}","{7.517666516313336E-4=0.011764705882352941, -0.0017974835230677051=0.03529411764705882}","{0.041151079136690645=0.03529411764705882, 0.03870595031773541=0.011764705882352941}","{-1.4840547139950258=0.011764705882352941, -1.453949039084431=0.03529411764705882}","{0.09452144920214778=0.03529411764705882, 0.09287512170885748=0.011764705882352941}",{100=0.047058823529411764},{0=0.047058823529411764},"{0.04960835509138381=0.03529411764705882, 0.04870224555263925=0.011764705882352941}","{0.04960777942814705=0.03529411764705882, 0.048701677437416886=0.011764705882352941}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.10439560439560447=0.03529411764705882, 0.10239117106069906=0.011764705882352941}","{0.07440983428219168=0.03529411764705882, 0.07305070535486458=0.011764705882352941}",{9=0.047058823529411764},"{0.6023391812865497=0.03529411764705882, 0.6347305389221557=0.011764705882352941}",{255=0.047058823529411764},{255=0.047058823529411764},{255=0.047058823529411764},"{0.020586400499064253=0.011764705882352941, 0.017521902377972465=0.03529411764705882}","{0.010015174506828529=0.011764705882352941, 0.00847457627118644=0.03529411764705882}",{4051=0.047058823529411764},-54 35 30.576,-20 22 55.668,20240313,2024-01-23 13:58,94152,14,0.3,1.7,"{""type"":""Polygon"",""coordinates"":[[[-54.59183644275131,-20.382136988992837],[-54.59181745360385,-20.382136737312102],[-54.59181770456171,-20.382118841168843],[-54.59183669370923,-20.382119092846533],[-54.59183644275131,-20.382136988992837]]]}"
20240123T134659_20240123T134702_T21KYT_00000000000000000000,{184=0.023529411764705882},{6570=0.023529411764705882},{5547=0.023529411764705882},{4973=0.023529411764705882},{6780=0.023529411764705882},{6580=0.023529411764705882},{6412=0.023529411764705882},{6991=0.023529411764705882},{7018=0.023529411764705882},{7096=0.023529411764705882},{7136=0.023529411764705882},{7057=0.023529411764705882},{15930=0.023529411764705882},{-0.3453539400877695=0.023529411764705882},{0.0844984802431612=0.023529411764705882},{-0.0012143290831815423=0.023529411764705882},{0.0405365995917177=0.023529411764705882},{-1.3674905552375498=0.023529411764705882},{0.10145101186208194=0.023529411764705882},{100=0.023529411764705882},{0=0.023529411764705882},{0.05343962208444051=0.023529411764705882},{0.05343899097737257=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.11291328758577657=0.023529411764705882},{0.08015647488651881=0.023529411764705882},{9=0.023529411764705882},{0.49171270718232046=0.023529411764705882},{255=0.023529411764705882},{255=0.023529411764705882},{255=0.023529411764705882},{0.02704443013522215=0.023529411764705882},{0.01293103448275862=0.023529411764705882},{4051=0.023529411764705882},-54 35 35.676,-20 22 54.732,20240313,2024-01-23 13:58,91803,12,0.43,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.593252275973065,-20.3818786380513],[-54.593233286496705,-20.381878386620205],[-54.59323353745892,-20.381860411857097],[-54.59325252693534,-20.38186066328514],[-54.593252275973065,-20.3818786380513]]]}"
20240123T134659_20240123T134702_T21KYT_00000000000000000003,{184=0.047058823529411764},{6743=0.047058823529411764},{5657=0.047058823529411764},{5251=0.047058823529411764},"{6884=0.023529411764705882, 6848=0.023529411764705882}","{6636=0.023529411764705882, 6600=0.023529411764705882}","{6460=0.023529411764705882, 6500=0.023529411764705882}",{7071=0.047058823529411764},{7120=0.047058823529411764},{7216=0.047058823529411764},"{7268=0.023529411764705882, 7236=0.023529411764705882}",{7172=0.047058823529411764},{15930=0.047058823529411764},"{-0.3617378333022562=0.023529411764705882, -0.35814213766088415=0.023529411764705882}","{0.09523809523809534=0.023529411764705882, 0.09636363636363643=0.023529411764705882}","{-0.004201680672268907=0.023529411764705882, -0.004074241738343142=0.023529411764705882}","{0.045454545454545456=0.023529411764705882, 0.04596704249783174=0.023529411764705882}","{-1.413758254057079=0.023529411764705882, -1.426767480887563=0.023529411764705882}","{0.10566218370331626=0.023529411764705882, 0.10723495469756017=0.023529411764705882}",{100=0.047058823529411764},{0=0.047058823529411764},"{0.0566588785046729=0.023529411764705882, 0.0557815223707147=0.023529411764705882}","{0.055780874132781724=0.023529411764705882, 0.05665821660961905=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.11815384615384605=0.023529411764705882, 0.12012383900928802=0.023529411764705882}","{0.08366924501579694=0.023529411764705882, 0.08498521520096375=0.023529411764705882}",{9=0.047058823529411764},{0.5=0.047058823529411764},{255=0.047058823529411764},{255=0.047058823529411764},{255=0.047058823529411764},"{0.021753039027511197=0.023529411764705882, 0.022537025112685124=0.023529411764705882}","{0.010719754977029096=0.023529411764705882, 0.010353227771010963=0.023529411764705882}",{4051=0.047058823529411764},-54 35 31.392,-20 22 54.414,20240313,2024-01-23 13:58,95613,15,0.42,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.59206046483269,-20.38179045521549],[-54.592041475633195,-20.38179020362566],[-54.59204172659175,-20.38177222905762],[-54.592060715791305,-20.38177248064439],[-54.59206046483269,-20.38179045521549]]]}"
20240128T134701_20240128T134658_T21KYT_00000000000000000005,{66=0.023529411764705882},{1503=0.023529411764705882},{3775=0.023529411764705882},{2731=0.023529411764705882},{1510=0.023529411764705882},{1877=0.023529411764705882},{1802=0.023529411764705882},{2643=0.023529411764705882},{4128=0.023529411764705882},{4525=0.023529411764705882},{4556=0.023529411764705882},{4736=0.023529411764705882},{4818=0.023529411764705882},{1.7025222551928783=0.023529411764705882},{1.4272775705913694=0.023529411764705882},{0.06255307104443815=0.023529411764705882},{0.4164464480024872=0.023529411764705882},{6.041725519287833=0.023529411764705882},{0.6044513729248138=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.43315508021390375=0.023529411764705882},{0.4331441800772551=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{1.5283018867924527=0.023529411764705882},{0.6496815286624205=0.023529411764705882},{4=0.023529411764705882},{1.1060275962236747=0.023529411764705882},{50=0.023529411764705882},{91=0.023529411764705882},{82=0.023529411764705882},{0.034578146611341634=0.023529411764705882},{0.02038597444957869=0.023529411764705882},{1677=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2024-01-28 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20240128T134701_20240128T134658_T21KYT_00000000000000000004,{66=0.047058823529411764},{1398=0.047058823529411764},"{3556=0.023529411764705882, 3484=0.023529411764705882}","{2519=0.023529411764705882, 2487=0.023529411764705882}","{1418=0.023529411764705882, 1440=0.023529411764705882}","{1814=0.023529411764705882, 1854=0.023529411764705882}","{1660=0.023529411764705882, 1650=0.023529411764705882}","{2507=0.023529411764705882, 2544=0.023529411764705882}","{4045=0.023529411764705882, 4097=0.023529411764705882}","{4503=0.023529411764705882, 4505=0.023529411764705882}","{4552=0.023529411764705882, 4633=0.023529411764705882}","{4769=0.023529411764705882, 4725=0.023529411764705882}",{4707=0.047058823529411764},"{1.8643630737493553=0.023529411764705882, 1.9971880021424746=0.023529411764705882}","{1.5093715545755235=0.023529411764705882, 1.498921251348436=0.023529411764705882}","{0.09090909090909091=0.023529411764705882, 0.08201610498061437=0.023529411764705882}","{0.42839525204254664=0.023529411764705882, 0.43009739239710965=0.023529411764705882}","{7.107826191751473=0.023529411764705882, 6.627265600825167=0.023529411764705882}","{0.6438345228116304=0.023529411764705882, 0.6352996821178749=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.46555054732775275=0.023529411764705882, 0.47477319751710967=0.023529411764705882}","{0.47476110746821665=0.023529411764705882, 0.4655385566373049=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{1.742168674698795=0.023529411764705882, 1.807878787878788=0.023529411764705882}","{0.7121031272380043=0.023529411764705882, 0.6982696177062374=0.023529411764705882}",{4=0.047058823529411764},"{1.0836791147994467=0.023529411764705882, 1.0703989272544419=0.023529411764705882}","{43=0.023529411764705882, 44=0.023529411764705882}","{83=0.023529411764705882, 87=0.023529411764705882}",{67=0.047058823529411764},"{0.09883720930232558=0.023529411764705882, 0.07490272373540856=0.023529411764705882}","{0.05821917808219178=0.023529411764705882, 0.04432930339666091=0.023529411764705882}","{1718=0.023529411764705882, 1705=0.023529411764705882}",-54 35 30.468,-20 22 52.110,20240313,2024-01-28 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20240128T134701_20240128T134658_T21KYT_00000000000000000006,{66=0.023529411764705882},{1563=0.023529411764705882},{3853=0.023529411764705882},{2772=0.023529411764705882},{1724=0.023529411764705882},{2166=0.023529411764705882},{2000=0.023529411764705882},{2880=0.023529411764705882},{4277=0.023529411764705882},{4608=0.023529411764705882},{4704=0.023529411764705882},{4806=0.023529411764705882},{4800=0.023529411764705882},{1.790728476821192=0.023529411764705882},{1.1717451523545708=0.023529411764705882},{0.07547169811320754=0.023529411764705882},{0.36943231441048036=0.023529411764705882},{6.360855629139072=0.023529411764705882},{0.5748039536174474=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.4033412887828162=0.023529411764705882},{0.40333166272881316=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{1.3519999999999999=0.023529411764705882},{0.6049668133343277=0.023529411764705882},{4=0.023529411764705882},{1.1020710059171597=0.023529411764705882},{73=0.023529411764705882},{120=0.023529411764705882},{102=0.023529411764705882},{0.06797706797706797=0.023529411764705882},{0.039846375420067214=0.023529411764705882},{1670=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2024-01-28 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
20240128T134701_20240128T134658_T21KYT_00000000000000000001,{66=0.047058823529411764},{1383=0.047058823529411764},{3528=0.047058823529411764},{2536=0.047058823529411764},{1460=0.047058823529411764},{1842=0.047058823529411764},{1730=0.047058823529411764},{2551=0.047058823529411764},{3960=0.047058823529411764},{4350=0.047058823529411764},{4460=0.047058823529411764},{4569=0.047058823529411764},{4621=0.047058823529411764},{1.7540478026214341=0.047058823529411764},{1.4212812160694899=0.047058823529411764},{0.07186499854524295=0.047058823529411764},{0.41542367502380195=0.047058823529411764},{6.228144949884348=0.047058823529411764},{0.6120810047259511=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.4410339256865913=0.047058823529411764},{0.44102252607363945=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{1.5780346820809248=0.047058823529411764},{0.6614974557790162=0.047058823529411764},{4=0.047058823529411764},{1.098901098901099=0.047058823529411764},{45=0.047058823529411764},{86=0.047058823529411764},{76=0.047058823529411764},{0.05303030303030303=0.047058823529411764},{0.03135498320268757=0.047058823529411764},{1694=0.047058823529411764},-54 35 33.300,-20 22 56.418,20240313,2024-01-28 13:58,93056,13,0.275,1.6,"{""type"":""Polygon"",""coordinates"":[[[-54.59259375362449,-20.382349204135945],[-54.592574680647715,-20.38234885471162],[-54.59257501526131,-20.38233097785257],[-54.592594004584754,-20.382331229455644],[-54.59259375362449,-20.382349204135945]]]}"
20240128T134701_20240128T134658_T21KYT_00000000000000000002,{66=0.047058823529411764},{1467=0.047058823529411764},{3676=0.047058823529411764},{2615=0.047058823529411764},"{1570=0.03529411764705882, 1552=0.011764705882352941}","{1980=0.011764705882352941, 1962=0.03529411764705882}","{1783=0.011764705882352941, 1830=0.03529411764705882}",{2703=0.047058823529411764},{4209=0.047058823529411764},{4579=0.047058823529411764},"{4692=0.011764705882352941, 4588=0.03529411764705882}",{4857=0.047058823529411764},{4762=0.047058823529411764},"{1.9388163156491602=0.011764705882352941, 1.8173431734317342=0.03529411764705882}","{1.3696969696969696=0.011764705882352941, 1.3384301732925588=0.03529411764705882}","{0.07154560349535773=0.03529411764705882, 0.08567511994516792=0.011764705882352941}","{0.40091603053435115=0.03529411764705882, 0.4064748201438849=0.011764705882352941}","{6.457147601476014=0.03529411764705882, 6.896637430018661=0.011764705882352941}","{0.6011072605360823=0.03529411764705882, 0.6199663674260592=0.011764705882352941}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.44926640926640926=0.011764705882352941, 0.4297288875038953=0.03529411764705882}","{0.44925530797694574=0.011764705882352941, 0.42971817467934736=0.03529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{1.5071038251366122=0.03529411764705882, 1.6315199102636009=0.011764705882352941}","{0.6445431175508296=0.03529411764705882, 0.6738475793375028=0.011764705882352941}",{4=0.047058823529411764},"{1.0942712110224802=0.03529411764705882, 1.07940873152286=0.011764705882352941}","{58=0.03529411764705882, 57=0.011764705882352941}","{100=0.011764705882352941, 98=0.03529411764705882}","{84=0.03529411764705882, 80=0.011764705882352941}","{0.0594059405940594=0.03529411764705882, 0.08909995477159656=0.011764705882352941}","{0.05235184693064045=0.011764705882352941, 0.03481012658227848=0.03529411764705882}",{1680=0.047058823529411764},-54 35 30.576,-20 22 55.668,20240313,2024-01-28 13:58,94152,14,0.3,1.7,"{""type"":""Polygon"",""coordinates"":[[[-54.59183644275131,-20.382136988992837],[-54.59181745360385,-20.382136737312102],[-54.59181770456171,-20.382118841168843],[-54.59183669370923,-20.382119092846533],[-54.59183644275131,-20.382136988992837]]]}"
20240128T134701_20240128T134658_T21KYT_00000000000000000000,{66=0.023529411764705882},{1401=0.023529411764705882},{3533=0.023529411764705882},{2440=0.023529411764705882},{1462=0.023529411764705882},{1876=0.023529411764705882},{1658=0.023529411764705882},{2563=0.023529411764705882},{4388=0.023529411764705882},{4810=0.023529411764705882},{4832=0.023529411764705882},{5042=0.023529411764705882},{4951=0.023529411764705882},{2.0794025157232703=0.023529411764705882},{1.5756929637526653=0.023529411764705882},{0.0919674039580908=0.023529411764705882},{0.44066785927251045=0.023529411764705882},{7.405278301886791=0.023529411764705882},{0.6568475373705951=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.48906009244992293=0.023529411764705882},{0.4890480357957277=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{1.914354644149578=0.023529411764705882},{0.7335336260688698=0.023529411764705882},{4=0.023529411764705882},{1.0617517328292376=0.023529411764705882},{46=0.023529411764705882},{90=0.023529411764705882},{67=0.023529411764705882},{0.10521235521235521=0.023529411764705882},{0.06168647425014148=0.023529411764705882},{1775=0.023529411764705882},-54 35 35.676,-20 22 54.732,20240313,2024-01-28 13:58,91803,12,0.43,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.593252275973065,-20.3818786380513],[-54.593233286496705,-20.381878386620205],[-54.59323353745892,-20.381860411857097],[-54.59325252693534,-20.38186066328514],[-54.593252275973065,-20.3818786380513]]]}"
20240128T134701_20240128T134658_T21KYT_00000000000000000003,{66=0.047058823529411764},{1408=0.047058823529411764},{3533=0.047058823529411764},{2535=0.047058823529411764},"{1472=0.023529411764705882, 1463=0.023529411764705882}","{1833=0.023529411764705882, 1834=0.023529411764705882}","{1722=0.023529411764705882, 1696=0.023529411764705882}",{2535=0.047058823529411764},{4033=0.047058823529411764},{4409=0.047058823529411764},"{4417=0.023529411764705882, 4487=0.023529411764705882}",{4624=0.047058823529411764},{4730=0.047058823529411764},"{1.8160377358490567=0.023529411764705882, 1.8901530543139644=0.023529411764705882}","{1.446564885496183=0.023529411764705882, 1.409710856519367=0.023529411764705882}","{0.07455690640105464=0.023529411764705882, 0.06880466472303207=0.023529411764705882}","{0.41344=0.023529411764705882, 0.41971207087486156=0.023529411764705882}","{6.720573750507922=0.023529411764705882, 6.452424528301886=0.023529411764705882}","{0.6101157035845972=0.023529411764705882, 0.6219929666012831=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.43899657924743446=0.023529411764705882, 0.4513989972505256=0.023529411764705882}","{0.4389851380319132=0.023529411764705882, 0.45138731651776764=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{1.6456367924528301=0.023529411764705882, 1.565040650406504=0.023529411764705882}","{0.6770437454516051=0.023529411764705882, 0.6584412411434155=0.023529411764705882}",{4=0.047058823529411764},"{1.0834826227158725=0.023529411764705882, 1.0927643784786643=0.023529411764705882}","{48=0.023529411764705882, 47=0.023529411764705882}","{85=0.023529411764705882, 86=0.023529411764705882}","{75=0.023529411764705882, 71=0.023529411764705882}","{0.05328852616418627=0.023529411764705882, 0.06676342525399129=0.023529411764705882}","{0.031223628691983123=0.023529411764705882, 0.039093484419263455=0.023529411764705882}",{1649=0.047058823529411764},-54 35 31.392,-20 22 54.414,20240313,2024-01-28 13:58,95613,15,0.42,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.59206046483269,-20.38179045521549],[-54.592041475633195,-20.38179020362566],[-54.59204172659175,-20.38177222905762],[-54.592060715791305,-20.38177248064439],[-54.59206046483269,-20.38179045521549]]]}"
20240202T134659_20240202T134700_T21KYT_00000000000000000005,{66=0.023529411764705882},{1327=0.023529411764705882},{3733=0.023529411764705882},{2756=0.023529411764705882},{1478=0.023529411764705882},{1844=0.023529411764705882},{1799=0.023529411764705882},{2602=0.023529411764705882},{3759=0.023529411764705882},{4132=0.023529411764705882},{4124=0.023529411764705882},{4361=0.023529411764705882},{4403=0.023529411764705882},{1.5160406885759=0.023529411764705882},{1.2364425162689803=0.023529411764705882},{0.05900933237616655=0.023529411764705882},{0.3820375335120643=0.023529411764705882},{5.367035211267606=0.023529411764705882},{0.5637432181374606=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.39253756542292756=0.023529411764705882},{0.3925269619594946=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{1.2923846581434129=0.023529411764705882},{0.588756647252469=0.023529411764705882},{4=0.023529411764705882},{1.1380645161290324=0.023529411764705882},{50=0.023529411764705882},{85=0.023529411764705882},{82=0.023529411764705882},{0.020785219399538105=0.023529411764705882},{0.012352456766401317=0.023529411764705882},{2513=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2024-02-02 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20240202T134659_20240202T134700_T21KYT_00000000000000000004,{66=0.047058823529411764},{1333=0.047058823529411764},"{3504=0.023529411764705882, 3476=0.023529411764705882}","{2549=0.023529411764705882, 2566=0.023529411764705882}","{1458=0.023529411764705882, 1440=0.023529411764705882}","{1798=0.023529411764705882, 1804=0.023529411764705882}","{1714=0.023529411764705882, 1720=0.023529411764705882}","{2522=0.023529411764705882, 2494=0.023529411764705882}","{3700=0.023529411764705882, 3694=0.023529411764705882}","{4109=0.023529411764705882, 4085=0.023529411764705882}","{4062=0.023529411764705882, 4132=0.023529411764705882}","{4377=0.023529411764705882, 4355=0.023529411764705882}",{4338=0.047058823529411764},"{1.7140420693575895=0.023529411764705882, 1.6549196504087962=0.023529411764705882}","{1.2591768631813127=0.023529411764705882, 1.2904656319290466=0.023529411764705882}","{0.06548148148148149=0.023529411764705882, 0.06336575302092544=0.023529411764705882}","{0.3863481228668942=0.023529411764705882, 0.3921832884097035=0.023529411764705882}","{6.083404206935758=0.023529411764705882, 5.869499295179024=0.023529411764705882}","{0.5780103502725069=0.023529411764705882, 0.5837072854437793=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.40650969529085873=0.023529411764705882, 0.41216678058783324=0.023529411764705882}","{0.40649843494640037=0.023529411764705882, 0.4121555118110236=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{1.402325581395349=0.023529411764705882, 1.3698949824970827=0.023529411764705882}","{0.6097117631783953=0.023529411764705882, 0.6181973515591628=0.023529411764705882}",{4=0.047058823529411764},"{1.116695059625213=0.023529411764705882, 1.1086235489220564=0.023529411764705882}","{45=0.023529411764705882, 46=0.023529411764705882}",{82=0.047058823529411764},{74=0.047058823529411764},"{0.04054054054054054=0.023529411764705882, 0.04065827686350436=0.023529411764705882}","{0.02383654937570942=0.023529411764705882, 0.023917995444191344=0.023529411764705882}","{2564=0.023529411764705882, 2553=0.023529411764705882}",-54 35 30.468,-20 22 52.110,20240313,2024-02-02 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20240202T134659_20240202T134700_T21KYT_00000000000000000006,{66=0.023529411764705882},{1331=0.023529411764705882},{3773=0.023529411764705882},{2756=0.023529411764705882},{1504=0.023529411764705882},{1946=0.023529411764705882},{1791=0.023529411764705882},{2699=0.023529411764705882},{3920=0.023529411764705882},{4267=0.023529411764705882},{4312=0.023529411764705882},{4509=0.023529411764705882},{4420=0.023529411764705882},{1.6677692511246363=0.023529411764705882},{1.2158273381294964=0.023529411764705882},{0.08306664811465145=0.023529411764705882},{0.378076062639821=0.023529411764705882},{5.915989150568933=0.023529411764705882},{0.5846193367851811=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.4130755366213338=0.023529411764705882},{0.41306470746301915=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{1.4075935231714127=0.023529411764705882},{0.619562546080118=0.023529411764705882},{4=0.023529411764705882},{1.1138437128123762=0.023529411764705882},{53=0.023529411764705882},{96=0.023529411764705882},{80=0.023529411764705882},{0.06941334527541423=0.023529411764705882},{0.041477120685041474=0.023529411764705882},{2575=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2024-02-02 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
20240202T134659_20240202T134700_T21KYT_00000000000000000001,{66=0.047058823529411764},{1319=0.047058823529411764},{3511=0.047058823529411764},{2599=0.047058823529411764},{1462=0.047058823529411764},{1822=0.047058823529411764},{1775=0.047058823529411764},{2500=0.047058823529411764},{3648=0.047058823529411764},{3997=0.047058823529411764},{4052=0.047058823529411764},{4223=0.047058823529411764},{4242=0.047058823529411764},{1.5228731942215088=0.047058823529411764},{1.2239297475301867=0.047058823529411764},{0.059148379595988954=0.047058823529411764},{0.37963908750425607=0.047058823529411764},{5.391755216693419=0.047058823529411764},{0.5619143427179552=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.39076711858589325=0.047058823529411764},{0.3907563890471516=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{1.2828169014084505=0.047058823529411764},{0.5861003861003861=0.047058823529411764},{4=0.047058823529411764},{1.137461572244181=0.047058823529411764},{47=0.047058823529411764},{83=0.047058823529411764},{80=0.047058823529411764},{0.022014051522248244=0.047058823529411764},{0.013066444259104809=0.047058823529411764},{2481=0.047058823529411764},-54 35 33.300,-20 22 56.418,20240313,2024-02-02 13:58,93056,13,0.275,1.6,"{""type"":""Polygon"",""coordinates"":[[[-54.59259375362449,-20.382349204135945],[-54.592574680647715,-20.38234885471162],[-54.59257501526131,-20.38233097785257],[-54.592594004584754,-20.382331229455644],[-54.59259375362449,-20.382349204135945]]]}"
